business_name,phone,address,city,niche,website,has_website,rating,review_count,maps_url
Curtis & Sons Plumbing,+1 254-271-0541,"303 S Amy Ln #4800, Harker Heights, TX 76548, United States",TX 76548,plumber,,False,4.7,193,"https://www.google.com/maps/place/Curtis+%26+Sons+Plumbing/@31.054008,-98.8941513,9z/data=!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x8645499d3eb6ddfb:0x582c928d41d14252!8m2!3d31.0863977!4d-97.6616005!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXNaFyIVcGx1bWJlciBraWxsZWVuIHRleGFzkgEHcGx1bWJlcuABAA!16s%2Fg%2F11jxzj29jl?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Wayne Hyde Plumbing,+1 254-410-4416,"2374 Levy Crossing Rd #112, Nolanville, TX 76559, United States",TX 76559,plumber,https://www.whpctx.com/,True,4.9,542,"https://www.google.com/maps/place/Wayne+Hyde+Plumbing/@31.054008,-98.8941513,9z/data=!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x86456bc32d191eb7:0x7703aae53e61ec9b!8m2!3d31.0697767!4d-97.5924015!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXNaFyIVcGx1bWJlciBraWxsZWVuIHRleGFzkgEHcGx1bWJlcpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOYU1pMWlZM3AzUlJBQuABAPoBBAgAEDw!16s%2Fg%2F11ghy548dm?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Patriot Plumbing Service Inc.,+1 254-246-7913,"202 Veterans Ave, Copperas Cove, TX 76522, United States",TX 76522,plumber,https://www.patriotplumbingsvc.com/plumbers-near-me-killeen-tx,True,5.0,506,"https://www.google.com/maps/place/Patriot+Plumbing+Service+Inc./@31.054008,-98.8941513,9z/data=!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x865ab12ef2d7c27d:0x822d60f084bc3f72!8m2!3d31.1201426!4d-97.9049601!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXNaFyIVcGx1bWJlciBraWxsZWVuIHRleGFzkgEHcGx1bWJlcuABAA!16s%2Fg%2F11f8mr1y2w?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
My Plumbing Company,+1 254-371-5657,,,plumber,http://myplumbingcompany.com/,True,4.7,124,"https://www.google.com/maps/place/My+Plumbing+Company/@31.054008,-98.8941513,9z/data=!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x865ab608f67f7fb1:0x92fc2b89f18ec5b3!8m2!3d30.9481245!4d-97.7940375!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXNaFyIVcGx1bWJlciBraWxsZWVuIHRleGFzkgEHcGx1bWJlcpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQydEpOR1ZyTlZCak0xWnJZMFJTTUZKc1VqUlRNVkp6Wlcxb2RGVldSUkFC4AEA-gEFCP0BEEY!16s%2Fg%2F1tfmcnf3?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
BellCo Plumbing LLC.,+1 254-220-9336,,,plumber,,False,5.0,8,"https://www.google.com/maps/place/BellCo+Plumbing+LLC./@31.054008,-98.8941513,9z/data=!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x8645350245b9c629:0x470f770e1a41ddb6!8m2!3d31.0654475!4d-97.6288295!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXNaFyIVcGx1bWJlciBraWxsZWVuIHRleGFzkgEHcGx1bWJlcpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOQ2NIUnBlSE5SUlJBQuABAPoBBAgqEEo!16s%2Fg%2F11rc6z8gvt?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Kretz Plumbing Services LLC.,+1 214-663-7808,,,plumber,https://kretzplumbing.com/killeen-location,True,5.0,13,"https://www.google.com/maps/place/Kretz+Plumbing+Services+LLC./@31.054008,-98.8941513,9z/data=!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x2dcee3ab9ccb95b7:0x4239e1b04bd52981!8m2!3d30.97885!4d-97.6485415!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXNaFyIVcGx1bWJlciBraWxsZWVuIHRleGFzkgEHcGx1bWJlcpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMXNZVmRHV25wVFNIQXpVVEJHTkZkRVRtbFRTRVY2WTIxd2VGZFhZeEFC4AEA-gEECDoQRw!16s%2Fg%2F11wqyfp6z8?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Max's Plumbing Services,+1 254-698-3554,"1426 Shoshoni Trail, Harker Heights, TX 76548, United States",TX 76548,plumber,,False,3.5,41,"https://www.google.com/maps/place/Max's+Plumbing+Services/@31.054008,-98.8941513,9z/data=!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x86454838f51dac11:0xefc6e59543e7c33a!8m2!3d31.0577953!4d-97.6409017!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXNaFyIVcGx1bWJlciBraWxsZWVuIHRleGFzkgEHcGx1bWJlcpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOQ2RVOXRZazEzRUFF4AEA-gEECAAQJg!16s%2Fg%2F1tfj3kbt?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Renegar Plumbing Inc,,"634 Stagecoach Rd, Killeen, TX 76542, United States",TX 76542,plumber,,False,2.6,5,"https://www.google.com/maps/place/Renegar+Plumbing+Inc/@31.054008,-98.8941513,9z/data=!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x86454aeb930c0001:0x9d376391394bc780!8m2!3d31.0562791!4d-97.758881!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXOSAQdwbHVtYmVy4AEA!16s%2Fg%2F11h3vcc2b_?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Max Power Rooter and Plumbing LLC,+1 254-383-9820,,,plumber,http://www.maxpower-rooter.com/,True,5.0,53,"https://www.google.com/maps/place/Max+Power+Rooter+and+Plumbing+LLC/@31.054008,-98.8941513,9z/data=!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x871a88217d5d1bc9:0x5b39765e0e4c99bf!8m2!3d31.0362825!4d-97.491952!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXNaFyIVcGx1bWJlciBraWxsZWVuIHRleGFzkgEHcGx1bWJlcpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOcU9HTnBkMmRuUlJBQuABAPoBBQjmARBI!16s%2Fg%2F11vwf61hpw?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Cove Plumbing Inc,+1 254-275-4275,"2416 E Business Hwy 190, Copperas Cove, TX 76522, United States",TX 76522,plumber,https://www.coveplumbingtx.com/,True,4.6,162,"https://www.google.com/maps/place/Cove+Plumbing+Inc/@31.054008,-98.8941513,9z/data=!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x865ab156b7e869a7:0x31048ae0f28837df!8m2!3d31.1202694!4d-97.8770643!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXNaFyIVcGx1bWJlciBraWxsZWVuIHRleGFzkgEHcGx1bWJlcuABAA!16s%2Fg%2F1tgns23x?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
"R & V Plumbing Services, LLC",+1 254-721-7520,,,plumber,http://rvplumbing.net/,True,5.0,66,"https://www.google.com/maps/place/R+%26+V+Plumbing+Services,+LLC/@31.054008,-98.8941513,9z/data=!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x480ed40ee6d047eb:0xb43610af7983a52d!8m2!3d30.8880265!4d-97.56208!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXNaFyIVcGx1bWJlciBraWxsZWVuIHRleGFzkgEHcGx1bWJlcpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VST2JuQlhlR0ZCRUFF4AEA-gEECB8QOA!16s%2Fg%2F11rr50cqfv?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Rooter Man of Belton,+1 254-231-0014,"3360 Standard Loop, Belton, TX 76513, United States",TX 76513,plumber,https://www.rooterman.com/,True,4.5,167,"https://www.google.com/maps/place/Rooter+Man+of+Belton/@31.054008,-98.8941513,9z/data=!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x86454778266098a9:0x75b56223bd53429e!8m2!3d31.051954!4d-97.566181!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXNaFyIVcGx1bWJlciBraWxsZWVuIHRleGFzkgEHcGx1bWJlcuABAA!16s%2Fg%2F11hd5fyzgd?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Belton TX Plumbers by Roto-Rooter,+1 254-346-2765,"4073 US-190, Belton, TX 76513, United States",TX 76513,plumber,https://www.rotorooter.com/beltontx/?utm_source=Google&utm_medium=organic&utm_campaign=gmb&utm_content=website,True,4.8,333,"https://www.google.com/maps/place/Belton+TX+Plumbers+by+Roto-Rooter/@31.054008,-98.8941513,9z/data=!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x86454184f35c5cad:0x1f707bdd2228dfd!8m2!3d31.053897!4d-97.512277!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXNaFyIVcGx1bWJlciBraWxsZWVuIHRleGFzkgEHcGx1bWJlcuABAA!16s%2Fg%2F1v1tngq8?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Duey's Plumbing,+1 254-290-4646,"2826 S FM 116, Kempner, TX 76539, United States",TX 76539,plumber,http://dueysplumbing.net/,True,4.7,64,"https://www.google.com/maps/place/Duey's+Plumbing/@31.054008,-98.8941513,9z/data=!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x865ab6c3adcec5e7:0x1ec94dd834887e51!8m2!3d31.0883462!4d-97.8931366!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXNaFyIVcGx1bWJlciBraWxsZWVuIHRleGFzkgEHcGx1bWJlcpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQycEdiMk5IT1V0aFJUa3pUbXRrVUZSWFRscE1WMnd6WVdwT1ZGWnJSUkFC4AEA-gEECFMQRA!16s%2Fg%2F1thmftmd?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
BSR Plumbing,+1 254-452-5490,"6814 Lower Troy Rd, Temple, TX 76501, United States",TX 76501,plumber,https://www.bsrplumbing.net/,True,4.9,398,"https://www.google.com/maps/place/BSR+Plumbing/@31.054008,-98.8941513,9z/data=!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x86456e8626867925:0x5cee6e359cfa4ae3!8m2!3d31.1577494!4d-97.3120274!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXNaFyIVcGx1bWJlciBraWxsZWVuIHRleGFzkgEHcGx1bWJlcuABAA!16s%2Fg%2F1261_1y5x?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Plumbing Outfitters,+1 512-759-8332,"24 Co Rd 496, Taylor, TX 76574, United States",TX 76574,plumber,https://plumbingoutfitters.com/taylor/?utm_source=google&utm_medium=organic&utm_campaign=local+listings,True,4.9,1437,"https://www.google.com/maps/place/Plumbing+Outfitters/@31.054008,-98.8941513,9z/data=!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x86451d1fa44c2de5:0xe3ccd4ba1ebcfa68!8m2!3d30.6553159!4d-97.3808605!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXNaFyIVcGx1bWJlciBraWxsZWVuIHRleGFzkgEHcGx1bWJlcuABAA!16s%2Fg%2F11dynzpdgp?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Plumb Texan LLC,+1 512-966-0624,,,plumber,https://plumbtexan.com/,True,4.9,156,"https://www.google.com/maps/place/Plumb+Texan+LLC/@31.054008,-98.8941513,9z/data=!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x864525c9a33b81dd:0xbb277b1fed532090!8m2!3d30.6616966!4d-97.765609!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXNaFyIVcGx1bWJlciBraWxsZWVuIHRleGFzkgEHcGx1bWJlcuABAA!16s%2Fg%2F11fp884k86?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
